learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
88000.0,1.350425936,6.6126133099529475E-9,88000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,88000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
89000.0,1.362133309,6.669940652727253E-9,89000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,89000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90000.0,1.373646085,6.7263151148748065E-9,90000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,90000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
91000.0,1.387455402,6.793935019796093E-9,91000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,91000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
92000.0,1.399146797,6.851184123303328E-9,92000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,92000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
93000.0,1.411141965,6.909920708152155E-9,93000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,93000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
94000.0,1.42275451,6.966783707878656E-9,94000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,94000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
95000.0,1.435047387,7.02697808055828E-9,95000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,95000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
96000.0,1.446466546,7.082894129546152E-9,96000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,96000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
97000.0,1.457851125,7.1386408510928346E-9,97000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,97000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
